scientificName,vernacularName,family,order,occurrenceCount,iucnRedListCategory,seen_within_5km,n_obs_5km,months_seen
Hemiceras soso,,Notodontidae,Lepidoptera,41,,,0,
Solenopsis invicta,Hormiga roja argentina de fuego,Formicidae,Hymenoptera,19,,,0,
Solenopsis macdonaghi,,Formicidae,Hymenoptera,13,,,0,
Megachile curvipes,,Megachilidae,Hymenoptera,10,,,0,
Augochlorella tredecim,,Halictidae,Hymenoptera,10,,,0,
Sabethes quasicyaneus,,Culicidae,Diptera,9,,,0,
Pseudagapostemon arenarius,,Halictidae,Hymenoptera,8,,,0,
Sabethes albiprivus,,Culicidae,Diptera,8,,,0,
Bombus brasiliensis,Abejorro de Brasil,Apidae,Hymenoptera,7,,,0,
Miathyria marcella,Rayadora del jacinto,Libellulidae,Odonata,6,,,0,
Sabethes glaucodaemon,,Culicidae,Diptera,6,,,0,
Automeris amoena,Mòt Saturno,Saturniidae,Lepidoptera,6,,,0,
Erythrodiplax umbrata,Rayadora de bandas negras,Libellulidae,Odonata,5,,,0,Jan·Sep·Oct
Xylophanes elara,,Sphingidae,Lepidoptera,5,,,0,
Protambulyx astygonus,,Sphingidae,Lepidoptera,5,,,0,
Trigona spinipes,Abeja sin aguijón de patas espinosas,Apidae,Hymenoptera,5,,,0,
Adeloneivaia muelleri,,Saturniidae,Lepidoptera,4,,,0,
Ectatomma tuberculatum,Hormiga de grandes mandíbulas,Formicidae,Hymenoptera,4,,,0,Apr
Eremnophila opulenta,,Sphecidae,Hymenoptera,4,,,0,
Calliscelio bisulcatus,,Scelionidae,Hymenoptera,4,,,0,
Sabethes chloropterus,,Culicidae,Diptera,4,,,0,
Callionima inuus,,Sphingidae,Lepidoptera,4,,,0,Feb·Dec
Hyperchiria orodina,,Saturniidae,Lepidoptera,4,,,0,
Cicia pamala,,Saturniidae,Lepidoptera,4,,,0,
Pyrgus oileus,Tropical Checkered Skipper,Hesperiidae,Lepidoptera,4,,,0,
Robinsonia drechseli,,Erebidae,Lepidoptera,3,,,0,
Prodiplosis hirsuta,,Cecidomyiidae,Diptera,3,,,0,
Tetragonisca fiebrigi,Yateí del sur,Apidae,Hymenoptera,3,,yes,1,Oct·Nov·Dec
Melipona quadrifasciata,Abeja melipona,Apidae,Hymenoptera,3,,,0,
Sphex servillei,,Sphecidae,Hymenoptera,3,,,0,
Augochlorella ephyra,,Halictidae,Hymenoptera,3,,,0,
Triacanthagyna nympha,Nymph Duskhawker,Aeshnidae,Odonata,3,,,0,
Haemagogus leucocelaenus,,Culicidae,Diptera,3,,,0,
Manduca rustica,Rustic Sphinx,Sphingidae,Lepidoptera,3,,yes,1,Mar·Apr
Arawacus separata,,Lycaenidae,Lepidoptera,3,,,0,Feb·Jun
Pyrrhopyge pelota,Pelota Firetip,Hesperiidae,Lepidoptera,3,,,0,
Antigonus erosus,Festoneada Lila,Hesperiidae,Lepidoptera,3,,,0,Jan·Feb·Dec
Camponotus cingulatus,,Formicidae,Hymenoptera,3,,,0,
Solenopsis saevissima,Red ant,Formicidae,Hymenoptera,3,,,0,
Anartia amathea,Mariposa pavo real roja,Nymphalidae,Lepidoptera,3,,,0,May·Aug·Sep·Oct
Biblis hyperia,Alas Sangrantes,Sesiidae,Lepidoptera,3,,yes,1,Feb·Mar·Jul·Nov
Danaus gilippus,Mariposa reina,Nymphalidae,Lepidoptera,3,,,0,Mar
Oiticella convergens,,Saturniidae,Lepidoptera,2,,,0,
Callicore sorana,,Nymphalidae,Lepidoptera,2,,,0,Feb·Jun
Nyceryx alophus,,Sphingidae,Lepidoptera,2,,,0,
Gloora mundula,,Erebidae,Lepidoptera,2,,,0,
Ophion flavidus,,Ichneumonidae,Hymenoptera,2,,,0,
Polistes canadensis,Avispa papelera colorada,Eumenidae,Hymenoptera,2,,yes,1,Mar·Jul
Polistes cavapyta,Avispa colorada de cabeza amarilla,Eumenidae,Hymenoptera,2,,,0,
Ectatomma edentatum,,Formicidae,Hymenoptera,2,,,0,
Brachymyrmex cordemoyi,Amerikaanse negenspriet,Formicidae,Hymenoptera,2,,,0,
Pachycondyla striata,Come-cobra,Formicidae,Hymenoptera,2,,,0,
Cylindromyrmex brasiliensis,,Formicidae,Hymenoptera,2,,,0,
Pseudomyrmex rufiventris,,Formicidae,Hymenoptera,2,,,0,
