binomial,family,life_form,lqv_vernacular,lqv_25km_occurrences,seen_within_5km,n_obs_5km,months_seen,py_threat_category,ar_threat_category,endemism_group,uses,is_timber,lqv_priority_score
Maytenus ilicifolia,,,,3,,0,,en_peligro,,,,,5
Balfourodendron riedelianum,Rutaceae,tree,marfim,1,,0,,en_peligro,,widespread,timber,yes,7
Cordia trichotoma,Boraginaceae,tree,,1,,0,,en_peligro,Indeterminada (maybe LC),widespread,timber,yes,7
Parodia nigrispina,,,,1,,0,,en_peligro,,,,,5
Ateleia glazioveana,Fabaceae,tree,,,,0,,en_peligro,,near_endemic,timber,yes,7
Araucaria angustifolia,Araucariaceae,tree,,,,0,,en_peligro,Endangered,pure_endemic,food | medicinal | ornamental | timber,yes,6
Amburana cearensis,Fabaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,5
Cedrela angustifolia,Meliaceae,tree,,,,0,,en_peligro,Indeterminada,widespread,timber,yes,5
Cedrela fissilis,Meliaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,5
Euterpe edulis,Arecaceae,tree,,,,0,,en_peligro,Endangered,widespread,food,yes,5
Myroxylon peruiferum,Fabaceae,tree,,,,0,,en_peligro,Vulnerable,widespread,timber,yes,5
Simira sampaioana,Rubiaceae,tree,,,,0,,en_peligro,,near_endemic,,,5
Zeyheria tuberculosa,Bignoniaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,5
Aspidosperma polyneuron,Apocynaceae,tree,,,,0,,en_peligro,Endangered,widespread,timber,yes,4
Calophyllum brasiliense,Calophyllaceae,tree,,,,0,,en_peligro,,widespread,fodder | lipids | medicinal | ornamental | timber,yes,4
Cariniana estrellensis,Lecythidaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,4
Dimorphandra mollis,Fabaceae,tree,,,,0,,en_peligro,,occasional,medicinal,,4
Prunus ravenii,Rosaceae,tree?,,,,0,,en_peligro,,pure_endemic,,,4
Rauvolfia sellowii,Apocynaceae,tree,,,,0,,en_peligro,,near_endemic,,,4
Trithrinax brasiliensis,Arecaceae,tree,,,,0,,en_peligro,,widespread,,,3
Alsophila cuspidata,Cyatheaceae,tree,,,,0,,en_peligro,,,,,2
Astronium balansae,,,,,,0,,en_peligro,,,,,2
Attalea guaranitica,,,,,,0,,en_peligro,,,,,2
Baccharis isabelae,,,,,,0,,en_peligro,,,,,2
Bactris glaucescens,,,,,,0,,en_peligro,,,,,2
Begonia fiebrigii,,,,,,0,,en_peligro,,,,,2
Begonia halansea,,,,,,0,,en_peligro,,,,,2
Begonia obovatistipulata,,,,,,0,,en_peligro,,,,,2
Begonia subvillosa,,,,,,0,,en_peligro,,,,,2
Bulnesia sarmientoi,Zygophyllaceae,shrub,,,,0,,en_peligro,Indeterminada (maybe Vulnerable),,,,2
Butia campylospatha,,,,,,0,,en_peligro,,,,,2
Butia compicola,,,,,,0,,en_peligro,,,,,2
Butia exertispadix,,,,,,0,,en_peligro,,,,,2
Butia marmorii,,,,,,0,,en_peligro,,,,,2
Capsicum flexuosum,Solanaceae,shrub,,,,0,,en_peligro,,widespread,,,2
Cyathea delgadii,Cyatheaceae,tree,,,,0,,en_peligro,,widespread,,,2
Discocactus heptacanthus,,,,,,0,,en_peligro,,,,,2
Equisetum giganteum,,,,,,0,,en_peligro,,,,,2
Escobedia grandiflora,,,,,,0,,en_peligro,,,,,2
Fosterella rojasii,,,,,,0,,en_peligro,,,,,2
Frailea cataphracta,,,,,,0,,en_peligro,,,,,2
Gymnocalycium euryplerum,,,,,,0,,en_peligro,,,,,2
Gymnocalycium paediophilum,,,,,,0,,en_peligro,,,,,2
Gymnocalycium paraguayense,,,,,,0,,en_peligro,,,,,2
Hemionitis rufa,,,,,,0,,en_peligro,,,,,2
Herreria montevidensis,,,,,,0,,en_peligro,,,,,2
Hypericum connatum,,,,,,0,,en_peligro,,,,,2
Jacaratia corumbensis,,,,,,0,,en_peligro,,,,,2
Mimosa barnebiana,,,,,,0,,en_peligro,,,,,2
Myrcia gemniflora,,,,,,0,,en_peligro,,,,,2
Myrocarpus peruiferum,,,,,,0,,en_peligro,,,,,2
Oncidium cebolleta,,,,,,0,,en_peligro,,,,,2
Oncidium jonesianum,,,,,,0,,en_peligro,,,,,2
Peltastes stemmadeniiflorus,,,,,,0,,en_peligro,,,,,2
Peperomia ciclophylla,,,,,,0,,en_peligro,,,,,2
Peperomia rotundifolia,,,,,,0,,en_peligro,,,,,2
Peperomia tetraphylla,,,,,,0,,en_peligro,,,,,2
Phymatidium delicatulum,,,,,,0,,en_peligro,,,,,2
Picrasma crenata,Simaroubaceae,tree,,,,0,,en_peligro,,widespread,,,2
Piper regnelli,,,,,,0,,en_peligro,,,,,2
Piriqueta ochroleuca,,,,,,0,,en_peligro,,,,,2
Piriquete subsessilis,,,,,,0,,en_peligro,,,,,2
Potamogeton striatus,,,,,,0,,en_peligro,,,,,2
Prunus douglasii,,,,,,0,,en_peligro,,,,,2
Psidium cinereum,,,,,,0,,en_peligro,,,,,2
Quillaja brasiliensis,,,,,,0,,en_peligro,,,,,2
Rhodocalyx rotundifolius,,,,,,0,,en_peligro,,,,,2
Sinningia amambayensis,,,,,,0,,en_peligro,,,,,2
Sophronitis cernua,,,,,,0,,en_peligro,,,,,2
Stevia rebaudiana,,,,,,0,,en_peligro,,,,,2
Tabebuia heptaphylla,,,,,,0,,en_peligro,,,,,2
Tabebuia pulcherrima,,,,,,0,,en_peligro,,,,,2
Tillandsia aeranthos,,,,,,0,,en_peligro,,,,,2
Tillandsia arhiza,,,,,,0,,en_peligro,,,,,2
Tillandsia duratii,,,,,,0,,en_peligro,,,,,2
Tillandsia esseriana,,,,,,0,,en_peligro,,,,,2
Trichipteris atrovirens,,,,,,0,,en_peligro,Endangered,,,,2
Trimezia martii,,,,,,0,,en_peligro,,,,,2
Turnera aurelli,,,,,,0,,en_peligro,,,,,2
Turnera grandidentata,,,,,,0,,en_peligro,,,,,2
Zygopetalum maxillare,,,,,,0,,en_peligro,,,,,2
Copaifera langsdorffii,Fabaceae,tree,Brazilian diesel tree,39,,0,,,Endangered,widespread,fuel | medicinal | poison | resins_gums | timber,yes,6
Acrocomia totai,,,Macaúba,10,,0,,,Endangered,,,,3
Baccharis trimera,,,,1,,0,,amenazada,,,,,5
Apuleia leiocarpa,Fabaceae,tree,,,,0,,amenazada,,widespread,timber,yes,5
Myrocarpus frondosus,Fabaceae,tree,,,,0,,,Endangered (maybe Vulnerable),near_endemic,timber,yes,5
Butia paraguayensis,Arecaceae,shrub,,,,0,,amenazada,Endangered,widespread,,,3
Drimys brasiliensis,Winteraceae,tree,,,,0,,,Endangered,near_endemic,medicinal,,3
Acanthostachys strobilacea,,,,,,0,,amenazada,,,,,2
Achyrocline alata,,,,,,0,,amenazada,,,,,2
Acrocomia hassleri,,,,,,0,,amenazada,,,,,2
Annona amambayensis,,,,,,0,,amenazada,,,,,2
Arachis batizocoi,,,,,,0,,amenazada,,,,,2
Arachis cardenasii,,,,,,0,,amenazada,,,,,2
Arachis duranensis,,,,,,0,,amenazada,,,,,2
Baccharis cylindrica,,,,,,0,,amenazada,,,,,2
Baccharis microcephala,,,,,,0,,amenazada,,,,,2
Cochlospermum tetraporum,,,,,,0,,amenazada,,,,,2
Cyclolepis genistoides,,,,,,0,,amenazada,,,,,2
Dicksonia sellowiana,Dicksoniaceae,tree,,,,0,,,Endangered,widespread,fibres,yes,2
Erythrodes kuczynskii,,,,,,0,,amenazada,,,,,2
Eugenia puriflora,,,,,,0,,amenazada,,,,,2
Frailea grahliana,,,,,,0,,amenazada,,,,,2
Guazuma ulmifolia,Malvaceae,tree,,,,0,,,Endangered,widespread,fibres | fodder | food | fuel | medicinal | timber,yes,2
Gumnocalycium megatae,,,,,,0,,amenazada,,,,,2
Gymnocalycium denudatum,,,,,,0,,amenazada,,,,,2
Gymnocalycium marsoneri,,,,,,0,,amenazada,,,,,2
Gymnocalyctium anisitsii,,,,,,0,,amenazada,,,,,2
Jatropha dissecta,,,,,,0,,amenazada,,,,,2
Malaxis parthonii,,,,,,0,,amenazada,,,,,2
Oncidium paranaense,,,,,,0,,amenazada,,,,,2
Parodia ottonis,,,,,,0,,amenazada,,,,,2
Parodia shumanniana,,,,,,0,,amenazada,,,,,2
Pilosocereus machrisii,,,,,,0,,amenazada,,,,,2
Pleurothallis saundersiana,,,,,,0,,amenazada,,,,,2
Prosopis alba,,,,,,0,,amenazada,Actively decreasing in the Cordoba province,,,,2
Prosopis nigra,,,,,,0,,amenazada,Decreasing in the Cordoba province,,,,2
Stenorrhynchos argentinus,,,,,,0,,amenazada,,,,,2
Tabebuia alba,,,,,,0,,amenazada,,,,,2
Tillandsia diaguitensis,,,,,,0,,amenazada,,,,,2
Trichilia stellato-tomentosa,,,,,,0,,amenazada,,,,,2
Vanilla rojasiana,,,,,,0,,amenazada,,,,,2
Victoria cruziana,,,,,,0,,amenazada,,,,,2
Vrisea friburgensis,,,,,,0,,amenazada,,,,,2
Vrisea psittacina,,,,,,0,,amenazada,,,,,2
Warningia eugeni,,,,,,0,,amenazada,,,,,2
Warrea warreana,,,,,,0,,amenazada,,,,,2
