year,n_scenes,platforms,valid_pixels,ndvi_mean,nbr_mean,ndmi_mean
1985,8,landsat-5,11312,0.6814140677452087,0.5173724293708801,0.21694552898406982
1986,8,landsat-5,11312,0.664007306098938,0.4672917127609253,0.1750638484954834
1987,8,landsat-5,11312,0.6306394934654236,0.42208027839660645,0.14708077907562256
1988,8,landsat-4|landsat-5,11312,0.690115213394165,0.5158155560493469,0.20789295434951782
1989,8,landsat-5,11312,0.6991563439369202,0.5193489193916321,0.2144789844751358
1990,5,landsat-5,11312,0.6804667711257935,0.48024091124534607,0.2003699541091919
1991,8,landsat-5,11312,0.6885421276092529,0.5072945356369019,0.211116760969162
1992,8,landsat-5,11312,0.6654471158981323,0.5055096745491028,0.21712838113307953
1993,8,landsat-5,11312,0.6614737510681152,0.47110986709594727,0.1756875216960907
1994,8,landsat-5,11312,0.7100460529327393,0.531475841999054,0.22434459626674652
1995,8,landsat-5,11312,0.6962350606918335,0.5407756567001343,0.22430065274238586
1996,8,landsat-5,11312,0.6435555219650269,0.46211516857147217,0.16716335713863373
1997,8,landsat-5,11312,0.698984682559967,0.5172033905982971,0.204752579331398
1998,8,landsat-5,11312,0.7221404314041138,0.5593197345733643,0.24212248623371124
1999,8,landsat-5|landsat-7,11312,0.6002435684204102,0.3699127733707428,0.09931056946516037
2000,8,landsat-5|landsat-7,11312,0.6482033729553223,0.40990641713142395,0.1266181617975235
2001,8,landsat-5|landsat-7,11312,0.6689010262489319,0.43937620520591736,0.1484415978193283
2002,8,landsat-5|landsat-7,11312,0.732387363910675,0.5220995545387268,0.22828875482082367
2003,8,landsat-5|landsat-7,11312,0.5643297433853149,0.33139950037002563,0.057441458106040955
2004,8,landsat-5|landsat-7,11312,0.6900479197502136,0.4548274278640747,0.18164841830730438
2005,8,landsat-5|landsat-7,11312,0.6494607329368591,0.3994852304458618,0.13024671375751495
2006,8,landsat-5|landsat-7,11312,0.6333135366439819,0.40835487842559814,0.12463884055614471
2007,8,landsat-5|landsat-7,11312,0.7265787124633789,0.5279663801193237,0.22268158197402954
2008,8,landsat-5|landsat-7,11312,0.6812871098518372,0.4659239947795868,0.1787075698375702
2009,8,landsat-5|landsat-7,11312,0.7066797018051147,0.5151156783103943,0.21377304196357727
2010,8,landsat-5|landsat-7,11312,0.6708680391311646,0.45483511686325073,0.16084960103034973
2011,8,landsat-5|landsat-7,11312,0.7261516451835632,0.5233233571052551,0.23543132841587067
2012,8,landsat-7,11312,0.7330020070075989,0.5291123986244202,0.22541896998882294
2013,8,landsat-7|landsat-8,11312,0.7370483875274658,0.4980301260948181,0.2205001264810562
2014,8,landsat-7|landsat-8,11312,0.7261735796928406,0.47471335530281067,0.19757559895515442
2015,8,landsat-7|landsat-8,11312,0.7562996745109558,0.5669731497764587,0.25418803095817566
2016,8,landsat-7|landsat-8,11312,0.7040137648582458,0.45627620816230774,0.17626526951789856
2017,8,landsat-7|landsat-8,11312,0.6939520239830017,0.4651336073875427,0.1757611632347107
2018,8,landsat-7|landsat-8,11312,0.7698302268981934,0.5740369558334351,0.2598331868648529
2019,8,landsat-7|landsat-8,11312,0.7001665830612183,0.46802228689193726,0.17540724575519562
2020,8,landsat-7|landsat-8,11312,0.7377744913101196,0.5390437245368958,0.24665938317775726
2021,8,landsat-7|landsat-8,11312,0.7217222452163696,0.5173637866973877,0.22624191641807556
2022,8,landsat-7|landsat-8|landsat-9,11312,0.7469568848609924,0.545757532119751,0.2507786154747009
2023,8,landsat-7|landsat-8|landsat-9,11312,0.7431384325027466,0.5194596648216248,0.22796116769313812
2024,8,landsat-8|landsat-9,11312,0.781532883644104,0.5556846857070923,0.27157214283943176
2025,8,landsat-8|landsat-9,11312,0.7706640958786011,0.5465021729469299,0.2647104561328888
