date,scene_id,orbit_state,relative_orbit,valid_pixels,vv_db_mean,vh_db_mean,vv_minus_vh_mean
2025-12-29,S1C_IW_GRDH_1SDV_20251229T091157_20251229T091222_005664_00B4FF_rtc,descending,68,100868,-7.632815361022949,-13.425292015075684,5.792476177215576
2026-01-10,S1C_IW_GRDH_1SDV_20260110T091156_20260110T091221_005839_00BB12_rtc,descending,68,100868,-7.4056596755981445,-13.014022827148438,5.608363628387451
2026-01-22,S1C_IW_GRDH_1SDV_20260122T091156_20260122T091221_006014_00C0ED_rtc,descending,68,100868,-8.544235229492188,-14.411649703979492,5.867414474487305
2026-02-03,S1C_IW_GRDH_1SDV_20260203T091155_20260203T091220_006189_00C6CA_rtc,descending,68,100868,-8.409355163574219,-14.290666580200195,5.881311416625977
2026-02-15,S1C_IW_GRDH_1SDV_20260215T091155_20260215T091220_006364_00CCD8_rtc,descending,68,100868,-8.778251647949219,-14.308745384216309,5.530494213104248
2026-02-27,S1C_IW_GRDH_1SDV_20260227T091155_20260227T091220_006539_00D2EE_rtc,descending,68,100868,-8.708494186401367,-14.265791893005371,5.557296276092529
2026-03-11,S1C_IW_GRDH_1SDV_20260311T091155_20260311T091220_006714_00D8EE_rtc,descending,68,100868,-8.380736351013184,-14.022050857543945,5.641314506530762
2026-03-23,S1C_IW_GRDH_1SDV_20260323T091155_20260323T091220_006889_00DEEC_rtc,descending,68,100868,-8.312976837158203,-13.867647171020508,5.554670333862305
2026-04-04,S1C_IW_GRDH_1SDV_20260404T091156_20260404T091221_007064_00E4D9_rtc,descending,68,100868,-8.36113166809082,-13.98104476928711,5.619913578033447
2026-04-16,S1C_IW_GRDH_1SDV_20260416T091156_20260416T091221_007239_00EABF_rtc,descending,68,100868,-7.767096042633057,-13.524269104003906,5.757174491882324
2026-05-22,S1C_IW_GRDH_1SDV_20260522T091159_20260522T091224_007764_00FC77_rtc,descending,68,100868,-9.034051895141602,-14.781298637390137,5.747247695922852
2026-05-23,S1D_IW_GRDH_1SDV_20260523T091208_20260523T091233_002909_004F90_rtc,descending,68,100868,-8.474699974060059,-14.71325969696045,6.238560676574707
2026-06-04,S1D_IW_GRDH_1SDV_20260604T091209_20260604T091234_003084_00555E_rtc,descending,68,100868,-8.545403480529785,-14.303580284118652,5.758176326751709
2026-06-16,S1D_IW_GRDH_1SDV_20260616T091210_20260616T091235_003259_005B26_rtc,descending,68,100868,-8.272818565368652,-14.3858642578125,6.113046646118164
