property,depth,mean,min,max,n_points,target_units
clay,0-5cm,19.483,19.100,20.500,6,%
clay,5-15cm,21.467,20.900,23.000,6,%
clay,15-30cm,22.033,20.600,23.100,6,%
clay,30-60cm,28.283,27.200,29.200,6,%
clay,60-100cm,30.583,29.400,32.000,6,%
clay,100-200cm,31.967,30.900,33.100,6,%
sand,0-5cm,57.300,52.500,60.500,6,%
sand,5-15cm,55.767,51.300,59.000,6,%
sand,15-30cm,55.217,50.000,59.100,6,%
sand,30-60cm,50.700,46.100,54.000,6,%
sand,60-100cm,48.350,44.400,51.800,6,%
sand,100-200cm,47.733,43.300,51.400,6,%
silt,0-5cm,23.250,20.300,28.300,6,%
silt,5-15cm,22.783,19.800,27.800,6,%
silt,15-30cm,22.717,20.000,27.200,6,%
silt,30-60cm,21.000,18.500,24.600,6,%
silt,60-100cm,21.083,18.800,24.800,6,%
silt,100-200cm,20.283,17.700,24.100,6,%
phh2o,0-5cm,5.400,5.400,5.400,6,-
phh2o,5-15cm,5.367,5.300,5.400,6,-
phh2o,15-30cm,5.333,5.300,5.400,6,-
phh2o,30-60cm,5.350,5.300,5.400,6,-
phh2o,60-100cm,5.333,5.300,5.400,6,-
phh2o,100-200cm,5.350,5.300,5.400,6,-
bdod,0-5cm,1.180,1.160,1.200,6,kg/dm³
bdod,5-15cm,1.230,1.210,1.240,6,kg/dm³
bdod,15-30cm,1.267,1.250,1.280,6,kg/dm³
bdod,30-60cm,1.280,1.260,1.290,6,kg/dm³
bdod,60-100cm,1.313,1.300,1.320,6,kg/dm³
bdod,100-200cm,1.323,1.310,1.330,6,kg/dm³
cec,0-5cm,20.550,19.100,23.400,6,cmol(c)/kg
cec,5-15cm,20.650,18.300,24.600,6,cmol(c)/kg
cec,15-30cm,19.167,16.400,23.600,6,cmol(c)/kg
cec,30-60cm,18.883,16.200,23.100,6,cmol(c)/kg
cec,60-100cm,18.650,16.200,22.400,6,cmol(c)/kg
cec,100-200cm,18.317,15.600,22.000,6,cmol(c)/kg
nitrogen,0-5cm,3.092,3.010,3.220,6,g/kg
nitrogen,5-15cm,2.028,1.960,2.100,6,g/kg
nitrogen,15-30cm,1.262,1.200,1.410,6,g/kg
nitrogen,30-60cm,0.747,0.700,0.840,6,g/kg
nitrogen,60-100cm,0.517,0.500,0.530,6,g/kg
nitrogen,100-200cm,0.470,0.410,0.570,6,g/kg
ocd,0-5cm,40.717,39.800,42.100,6,hg/m³
ocd,5-15cm,30.700,29.600,32.000,6,hg/m³
ocd,15-30cm,21.500,20.500,22.700,6,hg/m³
ocd,30-60cm,11.317,10.600,12.000,6,hg/m³
ocd,60-100cm,6.533,6.300,6.800,6,hg/m³
ocd,100-200cm,3.817,3.400,4.200,6,hg/m³
soc,0-5cm,37.633,36.400,39.100,6,g/kg
soc,5-15cm,26.933,25.800,29.400,6,g/kg
soc,15-30cm,19.817,17.800,22.200,6,g/kg
soc,30-60cm,9.583,8.100,11.300,6,g/kg
soc,60-100cm,7.600,6.000,8.400,6,g/kg
soc,100-200cm,8.433,6.600,9.700,6,g/kg
